num,sgId,psName,sdName,wiwName,emdName,placeName,addr,floor
101,20220601,장지동제4투,서울특별시,송파구,장지동,"문정시영아파트 상가(2층, 경로당 할머니방)",서울특별시 송파구 송이로31길 52 (문정동),2층
102,20220601,풍납2동제4투,서울특별시,송파구,풍납2동,"토성초등학교(2층, 체육관)",서울특별시 송파구 풍성로20길 44 (풍납동),2층
103,20220601,가락1동제5투,서울특별시,송파구,가락1동,"서울가락초등학교(1층, 보건교육실)",서울특별시 송파구 송파대로37길 45 (가락동),1층
104,20220601,가락2동제5투,서울특별시,송파구,가락2동,"송파중학교(1층, 어울관)",서울특별시 송파구 동남로 203 (가락동),1층
105,20220601,가락본동제5투,서울특별시,송파구,가락본동,"가원중학교 (1층, 문화관)",서울특별시 송파구 중대로10길 40-18 (가락동),1층
106,20220601,거여2동제5투,서울특별시,송파구,거여2동,"송파시그니처롯데캐슬아파트 캐슬리안센터(지하1층, 로비)","서울특별시 송파구 거마로 56 (거여동, 송파시그니처롯데캐슬)",지하
107,20220601,마천1동제5투,서울특별시,송파구,마천1동,송파파크데일 2단지아파트 경로당(1층),서울특별시 송파구 성내천로47길 38 (마천동),1층
108,20220601,문정2동제5투,서울특별시,송파구,문정2동,"송파파크하비오오피스텔 북카페 (202동2층, 관리사무소앞)",서울특별시 송파구 송파대로 111 (문정동),2층
109,20220601,방이2동제5투,서울특별시,송파구,방이2동,송파새마을금고 본점(1층),서울특별시 송파구 백제고분로 463 (방이동),1층
110,20220601,삼전동제5투,서울특별시,송파구,삼전동,"송파노인종합복지관 (1층, 경로식당)",서울특별시 송파구 백제고분로32길 41 (삼전동),1층
111,20220601,석촌동제5투,서울특별시,송파구,석촌동,"석촌초등학교 (1층, 체육관 English Class 교실)",서울특별시 송파구 가락로11길 26 (석촌동),1층
112,20220601,송파1동제5투,서울특별시,송파구,송파1동,"송파초등학교(1층, 과학2실)",서울특별시 송파구 백제고분로 400 (송파동),1층
113,20220601,오금동제5투,서울특별시,송파구,오금동,"오주중학교 꿈누리관 (1층, 제2음악실)",서울특별시 송파구 동남로 281 (오금동),1층
114,20220601,위례동제5투,서울특별시,송파구,위례동,"위례포레샤인 아파트 2313동 (1층, 다목적실)","서울특별시 송파구 위례순환로 477 (장지동, 위례포레샤인23단지)",1층
115,20220601,잠실2동제5투,서울특별시,송파구,잠실2동,"잠일초등학교 (1층, 현관로비A)",서울특별시 송파구 올림픽로 95 (잠실동),1층
116,20220601,잠실3동제5투,서울특별시,송파구,잠실3동,"송전초등학교 (1층, 로비)",서울특별시 송파구 석촌호수로 159 (잠실동),1층
117,20220601,잠실본동제5투,서울특별시,송파구,잠실본동,"잠전초등학교 (1층, 체육관)",서울특별시 송파구 올림픽로12길 51 (잠실동),1층
118,20220601,장지동제5투,서울특별시,송파구,장지동,"문현중학교 (2층, 체육관)",서울특별시 송파구 충민로 99 (장지동),2층
119,20220601,풍납2동제5투,서울특별시,송파구,풍납2동,"도란도란 백제쉼터(2층, 강당)",서울특별시 송파구 풍성로 28 (풍납동),2층
120,20220601,가락2동제6투,서울특별시,송파구,가락2동,"극동아파트 (1층, 경로당)",서울특별시 송파구 동남로18길 9 (가락동),1층
121,20220601,가락본동제6투,서울특별시,송파구,가락본동,"신가초등학교(2층, 다목적강당)",서울특별시 송파구 송이로 75 (가락동),2층
122,20220601,문정2동제6투,서울특별시,송파구,문정2동,"호텔 파크하비오 (1층, 로비)","서울특별시 송파구 송파대로 111 (문정동, 파크하비오)",1층
123,20220601,방이2동제6투,서울특별시,송파구,방이2동,"방이중학교(후관1층, 동아리실)",서울특별시 송파구 오금로11길 64 (방이동),1층
124,20220601,삼전동제6투,서울특별시,송파구,삼전동,"삼전초등학교 (1층, 회의실)",서울특별시 송파구 백제고분로28길 19 (삼전동),1층
125,20220601,석촌동제6투,서울특별시,송파구,석촌동,"석촌경로당 (1층, 할아버지방)",서울특별시 송파구 백제고분로40길 13-16 (석촌동),1층
126,20220601,송파1동제6투,서울특별시,송파구,송파1동,"송파초등학교(1층, 직원식당)",서울특별시 송파구 백제고분로 400 (송파동),1층
127,20220601,오금동제6투,서울특별시,송파구,오금동,"개롱초등학교 (1층, 체육관)",서울특별시 송파구 문정로 211 (오금동),1층
128,20220601,위례동제6투,서울특별시,송파구,위례동,"위례포레샤인17단지아파트 1711동(1층, 웰컴라운지)","서울특별시 송파구 위례송파로 123 (거여동, 위례포레샤인 17단지)",1층
129,20220601,잠실2동제6투,서울특별시,송파구,잠실2동,"잠일초등학교 (1층, 현관로비B)",서울특별시 송파구 올림픽로 95 (잠실동),1층
130,20220601,잠실3동제6투,서울특별시,송파구,잠실3동,"레이크팰리스 생활지원센터 (1층, 경로당)",서울특별시 송파구 잠실로 88 (잠실동),1층
131,20220601,잠실본동제6투,서울특별시,송파구,잠실본동,"잠전초등학교 (1층, 체육관)",서울특별시 송파구 올림픽로12길 51 (잠실동),1층
132,20220601,장지동제6투,서울특별시,송파구,장지동,"문현고등학교(2층, 체육관)",서울특별시 송파구 충민로 115 (장지동),2층
133,20220601,풍납2동제6투,서울특별시,송파구,풍납2동,"토성초등학교(2층, 체육관)",서울특별시 송파구 풍성로20길 44 (풍납동),2층
134,20220601,가락2동제7투,서울특별시,송파구,가락2동,"삼환아파트 (1층, 경로당)",서울특별시 송파구 오금로 432 (가락동 176),1층
135,20220601,삼전동제7투,서울특별시,송파구,삼전동,"삼전초등학교 (1층, 소강당)",서울특별시 송파구 백제고분로28길 19 (삼전동),1층
136,20220601,석촌동제7투,서울특별시,송파구,석촌동,"석촌동주민센터 (4층, 다목적실)",서울특별시 송파구 백제고분로37길 16 (석촌동),3층이상
137,20220601,오금동제7투,서울특별시,송파구,오금동,"개롱초등학교 (1층, 체육관)",서울특별시 송파구 문정로 211 (오금동),1층
138,20220601,위례동제7투,서울특별시,송파구,위례동,"위례포레샤인15단지아파트(1층, 피트니스센터)","서울특별시 송파구 위례송파로 89 (거여동, 위례 포레샤인 15단지)",1층
139,20220601,잠실2동제7투,서울특별시,송파구,잠실2동,"신천중학교 (1층, 음악실)",서울특별시 송파구 백제고분로 11 (잠실동),1층
140,20220601,잠실3동제7투,서울특별시,송파구,잠실3동,"버들초등학교 (1층, 로비)",서울특별시 송파구 석촌호수로 81 (잠실동),1층
141,20220601,장지동제7투,서울특별시,송파구,장지동,"문현초등학교(1층, 1-1반)",서울특별시 송파구 충민로 137 (장지동),1층
142,20220601,오금동제8투,서울특별시,송파구,오금동,"송파레미니스1단지아파트(1층, 주민공동시설)","서울특별시 송파구 성내천로 6 (오금동, 송파레미니스)",1층
143,20220601,잠실3동제8투,서울특별시,송파구,잠실3동,"트리지움 생활지원센터 (1층, 경로당)",서울특별시 송파구 잠실로 62 (잠실동),1층
